T,a,P,rho
279.836500000000,335.349234001526,86874.4412904448,1.08149810908978
279.830000000000,335.345339258204,86863.8359495615,1.08139120181383
279.823500000000,335.341444469648,86853.2316570401,1.08128430262283
279.817000000000,335.337549635856,86842.6284128011,1.08117741151636
279.810500000000,335.333654756826,86832.0262167654,1.08107052849401
279.804000000000,335.329759832556,86821.4250688536,1.08096365355534
279.797500000000,335.325864863046,86810.8249689864,1.08085678669993
279.791000000000,335.321969848294,86800.2259170848,1.08074992792736
279.784500000000,335.318074788297,86789.6279130691,1.08064307723721
279.778000000000,335.314179683055,86779.0309568603,1.08053623462905
279.771500000000,335.310284532565,86768.4350483792,1.08042940010246
279.765000000000,335.306389336827,86757.8401875464,1.08032257365701
279.758500000000,335.302494095839,86747.2463742827,1.08021575529229
279.752000000000,335.298598809598,86736.6536085088,1.08010894500786
279.745500000000,335.294703478104,86726.0618901457,1.08000214280331
279.739000000000,335.290808101356,86715.4712191139,1.07989534867821
279.732500000000,335.286912679350,86704.8815953343,1.07978856263213
279.726000000000,335.283017212086,86694.2930187277,1.07968178466466
279.719500000000,335.279121699562,86683.7054892147,1.07957501477537
279.713000000000,335.275226141777,86673.1190067163,1.07946825296383
279.706500000000,335.271330538729,86662.5335711532,1.07936149922963
279.700000000000,335.267434890417,86651.9491824461,1.07925475357234
279.693500000000,335.263539196838,86641.3658405158,1.07914801599154
279.687000000000,335.259643457992,86630.7835452833,1.07904128648680
279.680500000000,335.255747673877,86620.2022966693,1.07893456505770
279.674000000000,335.251851844490,86609.6220945945,1.07882785170381
279.667500000000,335.247955969831,86599.0429389799,1.07872114642472
279.661000000000,335.244060049899,86588.4648297462,1.07861444922000
279.654500000000,335.240164084690,86577.8877668141,1.07850776008923
279.648000000000,335.236268074205,86567.3117501046,1.07840107903198
279.641500000000,335.232372018440,86556.7367795385,1.07829440604782
279.635000000000,335.228475917396,86546.1628550367,1.07818774113635
279.628500000000,335.224579771069,86535.5899765198,1.07808108429713
279.622000000000,335.220683579459,86525.0181439089,1.07797443552973
279.615500000000,335.216787342564,86514.4473571247,1.07786779483375
279.609000000000,335.212891060383,86503.8776160881,1.07776116220875
279.602500000000,335.208994732913,86493.3089207199,1.07765453765430
279.596000000000,335.205098360153,86482.7412709411,1.07754792117000
279.589500000000,335.201201942102,86472.1746666723,1.07744131275541
279.583000000000,335.197305478758,86461.6091078346,1.07733471241010
279.576500000000,335.193408970120,86451.0445943487,1.07722812013367
279.570000000000,335.189512416185,86440.4811261357,1.07712153592568
279.563500000000,335.185615816953,86429.9187031163,1.07701495978571
279.557000000000,335.181719172421,86419.3573252114,1.07690839171334
279.550500000000,335.177822482589,86408.7969923419,1.07680183170815
279.544000000000,335.173925747454,86398.2377044288,1.07669527976970
279.537500000000,335.170028967015,86387.6794613927,1.07658873589758
279.531000000000,335.166132141271,86377.1222631548,1.07648220009137
