time (sec),density (kg/m^3),y acceleration (m/s^2)
132.1202981,0.630066051,0.024179149
132.1288258,0.630078492,0.024178548
132.1373535,0.630090933,0.024177943
132.1458811,0.630103374,0.024177336
132.1532612,0.630114141,0.024176809
132.1606413,0.630124908,0.024176293
132.1680213,0.630135675,0.024175775
132.1754014,0.630146442,0.024175255
132.1802647,0.630153537,0.024174912
132.185128,0.630160633,0.024174567
132.1899913,0.630167728,0.024174221
132.1948546,0.630174823,0.024173875
132.199718,0.630181919,0.024173527
132.2045813,0.630189014,0.024173184
132.2094446,0.630196109,0.024172844
132.2143079,0.630203205,0.024172503
132.2201792,0.630211771,0.02417209
132.2260505,0.630220337,0.024171676
132.2319218,0.630228903,0.024171261
132.2377931,0.630237469,0.024170844
132.2445201,0.630247284,0.024170364
132.251247,0.630257099,0.024169885
132.257974,0.630266913,0.024169415
132.264701,0.630276728,0.024168943
132.271428,0.630286543,0.02416847
132.2781549,0.630296358,0.024167995
132.2848819,0.630306173,0.024167517
132.2916089,0.630315987,0.024167039
132.3015183,0.630330446,0.024166335
132.3114278,0.630344904,0.024165642
132.3213372,0.630359363,0.024164945
132.3312467,0.630373821,0.024164243
132.3411561,0.63038828,0.024163538
132.3510655,0.630402739,0.024162837
132.360975,0.630417197,0.024162143
132.3708844,0.630431656,0.024161446
132.3845748,0.630451632,0.024160475
132.3982652,0.630471608,0.024159503
132.4119556,0.630491584,0.024158544
132.425646,0.630511561,0.024157579
132.4338767,0.630523571,0.024156994
132.4421074,0.630535581,0.024156407
132.4503381,0.630547591,0.02415583
132.4585688,0.630559601,0.024155253
132.4667995,0.630571611,0.024154674
132.4750302,0.630583621,0.024154092
132.4832609,0.630595631,0.024153508
132.4914915,0.630607642,0.024152921
132.4998605,0.630619854,0.024152335
132.5082295,0.630632066,0.024151749
132.5165985,0.630644278,0.02415116
132.5249674,0.630656491,0.024150568
132.5333364,0.630668703,0.024149973
132.5417054,0.630680916,0.024149377
132.5500744,0.630693128,0.024148793
132.5584433,0.630705341,0.024148206
132.5663514,0.630716881,0.024147649
132.5742595,0.630728421,0.02414709
132.5821676,0.630739961,0.024146528
132.5900757,0.630751502,0.024145964
132.5997628,0.630765638,0.024145289
132.60945,0.630779775,0.024144609
132.6191371,0.630793911,0.024143926
132.6288242,0.630808048,0.024143238
132.6391626,0.630823135,0.024142503
132.6495011,0.630838223,0.024141781
132.6598395,0.63085331,0.024141056
132.6701779,0.630868398,0.024140325
132.6805163,0.630883485,0.024139591
132.6908548,0.630898573,0.024138861
132.7011932,0.630913661,0.024138138
132.7115316,0.630928749,0.024137411
132.7248001,0.630948113,0.024136472
132.7380687,0.630967477,0.024135531
132.7513372,0.630986842,0.024134604
132.7646057,0.631006207,0.024133669
132.7804082,0.63102927,0.024132547
132.7962107,0.631052333,0.02413144
132.8120132,0.631075397,0.024130329
132.8278157,0.631098461,0.024129207
132.8387272,0.631114386,0.02412844
132.8496386,0.631130311,0.024127677
132.86055,0.631146237,0.024126909
132.8714614,0.631162163,0.024126136
132.8823728,0.631178088,0.024125361
132.8932843,0.631194014,0.0241246
132.9041957,0.63120994,0.024123835
132.9151071,0.631225866,0.024123064
132.9240208,0.631238877,0.024122431
132.9329344,0.631251887,0.024121802
132.9418481,0.631264897,0.02412118
132.9507617,0.631277908,0.024120555
132.9601722,0.631291644,0.024119891
132.9695828,0.63130538,0.024119224
132.9789933,0.631319115,0.024118556
132.9884038,0.631332852,0.024117901
132.9961395,0.631344143,0.024117359
133.0038752,0.631355434,0.024116815
133.011611,0.631366726,0.024116269
133.0193467,0.631378018,0.02411572
133.0268915,0.631389031,0.024115184
133.0344363,0.631400044,0.024114659
133.0419811,0.631411057,0.024114131
133.0495259,0.63142207,0.024113602
133.0570707,0.631433083,0.02411307
133.0646156,0.631444096,0.024112536
133.0721604,0.63145511,0.024111999
133.0797052,0.631466123,0.02411147
133.0903203,0.631481618,0.024110729
133.1009353,0.631497114,0.024109983
133.1115504,0.631512609,0.024109233
133.1221655,0.631528104,0.024108479
133.1324639,0.631543138,0.02410776
133.1427624,0.631558171,0.02410704
133.1530608,0.631573205,0.024106315
133.1633593,0.631588239,0.024105586
133.1713291,0.631599873,0.024105019
133.1792989,0.631611507,0.024104464
133.1872687,0.631623142,0.024103908
133.1952385,0.631634776,0.024103349
133.2003681,0.631642265,0.024102988
133.2054977,0.631649753,0.024102625
133.2106273,0.631657241,0.024102262
133.2157569,0.63166473,0.024101898
133.2208866,0.631672218,0.024101534
133.2260162,0.631679707,0.024101177
133.2311458,0.631687195,0.02410082
133.2362754,0.631694684,0.024100461
133.2414637,0.631702258,0.024100098
133.2466521,0.631709833,0.024099733
133.2518404,0.631717407,0.024099367
133.2570287,0.631724981,0.024099
133.2711215,0.631745555,0.024098002
133.2852143,0.631766129,0.02409702
133.2993071,0.631786703,0.02409603
133.3133998,0.631807278,0.024095032
133.3208418,0.631818143,0.024094508
133.3282837,0.631829007,0.02409399
133.3357257,0.631839872,0.02409347
133.3431676,0.631850737,0.024092947
133.3482741,0.631858192,0.024092587
133.3533806,0.631865648,0.024092227
133.358487,0.631873103,0.024091865
133.3635935,0.631880558,0.024091502
133.3687,0.631888014,0.024091143
133.3738065,0.631895469,0.024090788
133.3789129,0.631902925,0.024090432
133.3840194,0.63191038,0.024090075
133.3900515,0.631919187,0.024089652
133.3960836,0.631927994,0.024089228
133.4021157,0.631936801,0.024088802
133.4081478,0.631945607,0.024088374
133.4166357,0.631958,0.024087774
133.4251237,0.631970393,0.024087184
133.4336116,0.631982785,0.024086591
133.4420996,0.631995178,0.024085995
133.4454761,0.632000108,0.024085757
133.4488526,0.632005038,0.024085518
133.4522292,0.632009968,0.02408528
133.4556057,0.632014898,0.02408504
133.4589822,0.632019828,0.024084801
133.4623588,0.632024758,0.024084561
133.4657353,0.632029688,0.024084325
133.4691118,0.632034618,0.024084091
133.4733089,0.632040746,0.024083798
133.477506,0.632046874,0.024083506
133.4817031,0.632053002,0.024083212
133.4859002,0.63205913,0.024082918
133.499406,0.63207885,0.024081966
133.5129118,0.632098569,0.02408101
133.5264176,0.632118289,0.02408007
133.5399234,0.63213801,0.024079123
133.5534292,0.63215773,0.024078169
133.566935,0.63217745,0.024077221
133.5804408,0.632197171,0.024076278
133.5939466,0.632216892,0.024075328
133.6025157,0.632229404,0.024074722
133.6110848,0.632241917,0.024074117
133.6196539,0.632254429,0.024073522
133.628223,0.632266942,0.024072924
133.6345173,0.632276133,0.024072482
133.6408117,0.632285324,0.024072039
133.6471061,0.632294515,0.024071595
133.6534005,0.632303707,0.024071148
133.6596949,0.632312898,0.024070705
133.6659893,0.632322089,0.024070268
133.6722837,0.632331281,0.02406983
133.6785781,0.632340472,0.02406939
133.6849825,0.632349824,0.02406894
133.6913869,0.632359176,0.024068489
133.6977914,0.632368528,0.024068036
133.7041958,0.632377881,0.024067582
133.7165014,0.63239585,0.024066725
133.728807,0.63241382,0.024065865
133.7411125,0.63243179,0.024064999
133.7534181,0.63244976,0.024064128
133.7657237,0.63246773,0.024063272
133.7780293,0.6324857,0.024062412
133.7903349,0.63250367,0.024061546
133.8026404,0.632521641,0.024060674
133.8108842,0.63253368,0.024060102
133.8191279,0.632545719,0.024059528
133.8273717,0.632557758,0.024058951
133.8356154,0.632569797,0.024058372
133.8438592,0.632581836,0.024057789
133.8521029,0.632593875,0.024057205
133.8603467,0.632605914,0.024056634
133.8685904,0.632617954,0.02405606
133.8758825,0.632628603,0.024055549
133.8831746,0.632639253,0.024055037
133.8904667,0.632649902,0.024054522
133.8977588,0.632660552,0.024054006
133.9064115,0.632673189,0.024053402
133.9150642,0.632685826,0.024052801
133.9237168,0.632698462,0.024052196
133.9323695,0.632711099,0.024051588
133.9410221,0.632723736,0.024050977
133.9496748,0.632736374,0.024050365
133.9583274,0.632749011,0.024049766
133.9669801,0.632761648,0.024049163
133.973922,0.632771786,0.024048677
133.9808638,0.632781925,0.024048189
133.9878057,0.632792064,0.024047699
133.9947475,0.632802203,0.024047208
134.0016894,0.632812341,0.024046723
134.0086313,0.63282248,0.024046241
134.0155731,0.632832619,0.024045757
134.022515,0.632842758,0.024045272
134.0315059,0.63285589,0.02404464
134.0404968,0.632869022,0.024044005
134.0494877,0.632882153,0.024043373
134.0584786,0.632895285,0.024042749
134.0647971,0.632904514,0.024042309
134.0711156,0.632913743,0.024041867
134.0774342,0.632922972,0.024041423
134.0837527,0.632932201,0.024040978
134.0900712,0.63294143,0.024040531
134.0963898,0.632950659,0.024040086
134.1027083,0.632959887,0.024039649
134.1090269,0.632969117,0.024039209
134.1190846,0.632983807,0.024038507
134.1291424,0.632998498,0.0240378
134.1392002,0.633013189,0.02403709
134.149258,0.63302788,0.024036387
134.1593158,0.633042571,0.024035688
134.1693735,0.633057262,0.024034985
134.1794313,0.633071953,0.024034278
134.1894891,0.633086645,0.024033567
134.2010794,0.633103575,0.024032761
134.2126698,0.633120505,0.024031954
134.2242601,0.633137435,0.024031141
134.2358504,0.633154366,0.024030324
134.2474407,0.633171296,0.024029514
134.2590311,0.633188227,0.024028708
134.2706214,0.633205157,0.024027897
134.2822117,0.633222088,0.02402708
134.2971128,0.633243855,0.024026039
134.3120138,0.633265623,0.024025001
134.3269148,0.63328739,0.024023955
134.3418158,0.633309158,0.024022908
134.3495531,0.633320461,0.024022372
134.3572904,0.633331764,0.024021833
134.3650276,0.633343067,0.024021292
134.3727649,0.63335437,0.024020749
134.3805022,0.633365673,0.024020203
134.3882395,0.633376976,0.024019659
134.3959767,0.633388279,0.024019123
134.403714,0.633399583,0.024018585
134.4084749,0.633406538,0.024018253
134.4132359,0.633413493,0.02401792
134.4179968,0.633420448,0.024017586
134.4227578,0.633427404,0.024017251
134.4275187,0.633434359,0.024016915
134.4322797,0.633441314,0.024016579
134.4370406,0.633448269,0.024016246
134.4418015,0.633455225,0.024015917
134.4464177,0.633461969,0.024015597
134.4510338,0.633468712,0.024015276
134.45565,0.633475456,0.024014954
134.4602662,0.6334822,0.024014631
134.4713924,0.633498455,0.02401385
134.4825186,0.63351471,0.024013064
134.4936449,0.633530965,0.024012294
134.5047711,0.63354722,0.02401152
134.5086846,0.633552937,0.024011246
134.5125981,0.633558655,0.024010972
134.5165115,0.633564372,0.024010697
134.520425,0.63357009,0.024010422
134.5243385,0.633575807,0.024010146
134.5282519,0.633581525,0.02400987
134.5321654,0.633587242,0.024009593
134.5360789,0.63359296,0.024009323
134.5398605,0.633598485,0.024009062
134.5436422,0.63360401,0.0240088
134.5474239,0.633609535,0.024008537
134.5512055,0.63361506,0.024008274
134.5582292,0.633625322,0.024007783
134.5652529,0.633635584,0.024007291
134.5722766,0.633645846,0.024006796
134.5793003,0.633656107,0.0240063
134.586324,0.633666369,0.024005813
134.5933476,0.633676631,0.024005326
134.6003713,0.633686893,0.024004838
134.607395,0.633697155,0.024004347
134.6164025,0.633710316,0.024003715
134.6254099,0.633723476,0.02400308
134.6344174,0.633736637,0.024002452
134.6434248,0.633749798,0.024001828
134.6516894,0.633761873,0.024001252
134.659954,0.633773948,0.024000674
134.6682186,0.633786024,0.024000093
134.6764832,0.633798099,0.02399951
134.693782,0.633823375,0.023998311
134.7110807,0.633848651,0.023997102
134.7283794,0.633873927,0.023995886
134.7456781,0.633899204,0.023994688
134.7629768,0.633924481,0.023993477
134.7802756,0.633949758,0.023992265
134.7975743,0.633975035,0.023991064
134.814873,0.634000312,0.023989852
134.8275213,0.634018795,0.023988966
134.8401696,0.634037277,0.02398809
134.8528178,0.63405576,0.023987208
134.8654661,0.634074242,0.023986319
134.8781144,0.634092725,0.023985436
134.8907627,0.634111208,0.02398456
134.9034109,0.634129691,0.023983677
134.9160592,0.634148174,0.023982787
134.9265771,0.634163545,0.023982054
134.9370951,0.634178915,0.023981326
134.947613,0.634194285,0.023980593
134.9581309,0.634209656,0.023979856
134.9650015,0.634219696,0.023979373
134.9718721,0.634229737,0.023978892
134.9787428,0.634239778,0.023978418
134.9856134,0.634249818,0.023977942
134.992484,0.634259859,0.023977464
134.9993546,0.6342699,0.023976984
135.0062252,0.63427994,0.023976502
135.0130959,0.634289981,0.023976019
135.0241404,0.634306122,0.023975249
135.035185,0.634322263,0.023974485
135.0462295,0.634338404,0.023973715
135.0572741,0.634354545,0.023972941
135.0683186,0.634370686,0.023972165
135.0793632,0.634386827,0.023971402
135.0904077,0.634402969,0.023970635
135.1014523,0.63441911,0.023969863
135.1117321,0.634434134,0.02396914
135.122012,0.634449158,0.023968426
135.1322918,0.634464182,0.023967714
135.1425717,0.634479207,0.023966999
135.1564638,0.63449951,0.023966025
135.170356,0.634519814,0.023965056
135.1842481,0.634540119,0.023964094
135.1981402,0.634560423,0.023963124
135.208562,0.634575655,0.023962392
135.2189838,0.634590888,0.023961668
135.2294056,0.63460612,0.023960947
135.2398273,0.634621353,0.023960222
135.2502491,0.634636585,0.023959492
135.2606709,0.634651818,0.023958759
135.2710926,0.634667051,0.02395804
135.2815144,0.634682284,0.023957317
135.2902056,0.634694987,0.023956712
135.2988968,0.634707691,0.023956104
135.307588,0.634720395,0.023955492
135.3162792,0.634733098,0.02395489
135.3249705,0.634745802,0.02395429
135.3336617,0.634758506,0.023953686
135.3423529,0.63477121,0.023953079
135.3510441,0.634783914,0.02395247
135.3638969,0.634802701,0.023951573
135.3767496,0.634821488,0.023950685
135.3896024,0.634840276,0.02394979
135.4024552,0.634859063,0.023948889
135.415308,0.634877851,0.023947996
135.4281607,0.634896639,0.023947107
135.4410135,0.634915427,0.02394621
135.4538663,0.634934215,0.023945308
135.4664529,0.634952614,0.023944438
135.4790396,0.634971014,0.023943566
135.4916262,0.634989413,0.023942687
135.5042128,0.635007813,0.023941803
135.5127328,0.635020268,0.023941216
135.5212528,0.635032723,0.023940627
135.5297728,0.635045178,0.023940036
135.5382928,0.635057633,0.023939441
135.5468128,0.635070088,0.023938844
135.5553328,0.635082543,0.023938248
135.5638528,0.635094999,0.023937661
135.5723727,0.635107454,0.023937071
135.5829862,0.63512297,0.023936333
135.5935997,0.635138486,0.02393559
135.6042132,0.635154002,0.023934848
135.6148267,0.635169518,0.023934117
135.6221274,0.635180192,0.023933611
135.6294281,0.635190865,0.023933104
135.6367288,0.635201538,0.023932594
135.6440295,0.635212211,0.023932082
135.6513302,0.635222885,0.02393157
135.658631,0.635233558,0.023931068
135.6659317,0.635244232,0.023930564
135.6732324,0.635254905,0.023930058
135.6810916,0.635266395,0.023929511
135.6889507,0.635277886,0.023928961
135.6968099,0.635289376,0.023928409
135.7046691,0.635300866,0.023927865
135.7131288,0.635313234,0.023927282
135.7215885,0.635325603,0.023926696
135.7300482,0.635337971,0.023926107
135.7385079,0.63535034,0.023925516
135.7468805,0.635362581,0.023924928
135.7552531,0.635374822,0.023924351
135.7636258,0.635387063,0.023923773
135.7719984,0.635399305,0.023923193
135.780371,0.635411546,0.023922609
135.7887437,0.635423788,0.023922024
135.7971163,0.635436029,0.023921436
135.8054889,0.635448271,0.023920861
135.8126834,0.63545879,0.023920364
135.8198779,0.635469309,0.023919866
135.8270723,0.635479828,0.023919365
135.8342668,0.635490348,0.023918862
135.8480563,0.63551051,0.023917899
135.8618457,0.635530672,0.023916949
135.8756352,0.635550834,0.023915992
135.8894246,0.635570997,0.023915027
135.8982845,0.635583952,0.023914411
135.9071445,0.635596907,0.023913801
135.9160044,0.635609862,0.023913188
135.9248643,0.635622817,0.023912572
135.9337242,0.635635772,0.023911953
135.9425841,0.635648727,0.023911331
135.951444,0.635661682,0.023910723
135.9603039,0.635674637,0.023910111
135.9682446,0.635686249,0.023909561
135.9761854,0.63569786,0.023909008
135.9841262,0.635709472,0.023908452
135.9920669,0.635721083,0.023907896
135.9995937,0.635732089,0.023907379
136.0071204,0.635743095,0.02390686
136.0146471,0.635754102,0.023906339
136.0221739,0.635765108,0.023905816
136.0389865,0.635789693,0.023904639
136.0557991,0.635814279,0.023903482
136.0726118,0.635838864,0.023902315
136.0894244,0.63586345,0.023901139
136.0993156,0.635877915,0.02390046
136.1092067,0.635892379,0.023899777
136.1190979,0.635906844,0.02389909
136.1289891,0.635921308,0.023898399
136.1388802,0.635935773,0.023897708
136.1487714,0.635950238,0.023897029
136.1586626,0.635964703,0.023896346
136.1685538,0.635979168,0.023895659
136.177711,0.63599256,0.02389502
136.1868683,0.636005952,0.023894378
136.1960255,0.636019344,0.02389375
136.2051828,0.636032736,0.023893119
136.2124193,0.636043319,0.023892617
136.2196559,0.636053902,0.023892114
136.2268925,0.636064485,0.023891608
136.2341291,0.636075069,0.023891101
136.2413657,0.636085652,0.023890604
136.2486022,0.636096235,0.023890106
136.2558388,0.636106819,0.023889606
136.2630754,0.636117402,0.023889104
136.2748874,0.636134678,0.023888281
136.2866994,0.636151953,0.023887458
136.2985115,0.636169228,0.023886646
136.3103235,0.636186504,0.023885829
136.3240835,0.636206629,0.02388487
136.3378436,0.636226754,0.023883914
136.3516036,0.636246879,0.023882967
136.3653636,0.636267004,0.023882013
136.3743017,0.636280077,0.023881388
136.3832397,0.63629315,0.023880766
136.3921777,0.636306223,0.023880152
136.4011158,0.636319295,0.023879536
136.4100538,0.636332369,0.023878917
136.4189918,0.636345442,0.023878294
136.4279298,0.636358515,0.023877669
136.4368679,0.636371588,0.023877054
136.4472658,0.636386797,0.023876338
136.4576636,0.636402005,0.023875619
136.4680615,0.636417214,0.023874895
136.4784594,0.636432423,0.023874167
136.4911469,0.636450981,0.023873297
136.5038345,0.636469539,0.023872421
136.516522,0.636488097,0.023871538
136.5292096,0.636506656,0.023870654
136.5385236,0.63652028,0.023870015
136.5478377,0.636533904,0.023869373
136.5571517,0.636547528,0.023868728
136.5664658,0.636561153,0.023868079
136.5757799,0.636574777,0.023867427
136.5850939,0.636588401,0.02386679
136.594408,0.636602026,0.023866149
136.6037221,0.63661565,0.023865504
136.6141154,0.636630854,0.023864781
136.6245088,0.636646058,0.023864054
136.6349022,0.636661261,0.023863342
136.6452955,0.636676465,0.023862627
136.6558805,0.636691949,0.023861893
136.6664655,0.636707433,0.023861156
136.6770505,0.636722918,0.023860421
136.6876355,0.636738402,0.023859695
136.6961607,0.636750874,0.023859107
136.7046859,0.636763345,0.023858516
136.7132111,0.636775817,0.023857922
136.7217364,0.636788288,0.023857326
136.7318682,0.63680311,0.023856632
136.7420001,0.636817932,0.023855935
136.752132,0.636832754,0.023855234
136.7622638,0.636847577,0.023854528
136.7701823,0.636859161,0.023853974
136.7781007,0.636870745,0.023853432
136.7860191,0.636882329,0.023852889
136.7939375,0.636893914,0.023852343
136.8018559,0.636905498,0.023851794
136.8097743,0.636917083,0.023851243
136.8176928,0.636928667,0.02385069
136.8256112,0.636940252,0.023850146
136.8344131,0.636953129,0.023849542
136.8432151,0.636966006,0.023848935
136.8520171,0.636978884,0.023848325
136.860819,0.636991761,0.023847712
136.8745473,0.637011846,0.023846762
136.8882755,0.637031931,0.023845819
136.9020038,0.637052016,0.023844868
136.9157321,0.637072102,0.023843911
136.9238479,0.637083976,0.023843354
136.9319638,0.63709585,0.023842798
136.9400796,0.637107724,0.023842238
136.9481955,0.637119598,0.023841676
136.9563113,0.637131473,0.023841112
136.9644272,0.637143347,0.023840545
136.972543,0.637155222,0.023839989
136.9806589,0.637167096,0.023839432
136.9885539,0.637178648,0.023838888
136.996449,0.637190199,0.023838342
137.004344,0.637201751,0.023837793
137.0122391,0.637213303,0.023837242
137.0190969,0.637223337,0.02383677
137.0259548,0.637233371,0.023836301
137.0328126,0.637243405,0.02383583
137.0396705,0.637253439,0.023835356
137.0448376,0.637261,0.023834999
137.0500048,0.63726856,0.02383464
137.0551719,0.637276121,0.02383428
137.060339,0.637283681,0.02383392
137.0655062,0.637291242,0.023833562
137.0706733,0.637298802,0.023833209
137.0758404,0.637306363,0.023832855
137.0810076,0.637313924,0.0238325
137.0870606,0.637322781,0.023832083
137.0931136,0.637331637,0.023831664
137.0991666,0.637340494,0.023831244
137.1052196,0.637349351,0.023830823
137.1167055,0.637366158,0.023830028
137.1281914,0.637382965,0.023829241
137.1396773,0.637399772,0.023828449
137.1511632,0.637416579,0.023827652
137.1626491,0.637433386,0.023826853
137.1741351,0.637450193,0.023826068
137.185621,0.637467001,0.023825277
137.1971069,0.637483808,0.023824481
137.2045009,0.637494628,0.023823966
137.211895,0.637505448,0.023823454
137.219289,0.637516268,0.023822949
137.226683,0.637527088,0.023822441
137.2340771,0.637537908,0.023821932
137.2414711,0.637548728,0.023821421
137.2488652,0.637559548,0.023820907
137.2562592,0.637570368,0.023820391
